0,name0,0,0
1,name1,0,1
2,name2,0,2
3,name3,0,3
4,name4,0,4
5,name5,0,5
6,name6,0,6
7,name7,0,7
8,name8,1,0
9,name9,1,1
10,name10,1,2
11,name11,1,3
12,name12,1,4
13,name13,1,5
14,name14,1,6
15,name15,1,7
16,name16,2,0
17,name17,2,1
18,name18,2,2
19,name19,2,3
20,name20,2,4
21,name21,2,5
22,name22,2,6
23,name23,2,7
24,name24,3,0
25,name25,3,1
26,name26,3,2
27,name27,3,3
28,name28,3,4
29,name29,3,5
30,name30,3,6
31,name31,3,7
32,name32,4,0
33,name33,4,1
34,name34,4,2
35,name35,4,3
36,name36,4,4
37,name37,4,5
38,name38,4,6
39,name39,4,7
40,name40,5,0
41,name41,5,1
42,name42,5,2
43,name43,5,3
44,name44,5,4
45,name45,5,5
46,name46,5,6
47,name47,5,7
48,name48,6,0
49,name49,6,1
50,name50,6,2
51,name51,6,3
52,name52,6,4
53,name53,6,5
54,name54,6,6
55,name55,6,7
56,name56,7,0
57,name57,7,1
58,name58,7,2
59,name59,7,3
60,name60,7,4
61,name61,7,5
62,name62,7,6
63,name63,7,7
